warehouse_code,order_date,order_num
DEFRAA,2020-01-04 00:00:00,1751
DEFRAA,2020-04-26 00:00:00,2520
DEFRAA,2020-05-04 00:00:00,5723
DEFRAA,2020-11-02 00:00:00,13100
DEFRAA,2020-12-16 00:00:00,8103
DEFRAB,2020-02-11 00:00:00,4561
DEFRAB,2020-03-17 00:00:00,5334
DEFRAB,2020-03-22 00:00:00,175
DEFRAB,2020-04-30 00:00:00,8631
DEFRAB,2020-07-18 00:00:00,4590
DEFRAB,2020-09-03 00:00:00,9141
DEFRAB,2020-09-26 00:00:00,4861
DEFRAB,2020-10-23 00:00:00,5601
DEFRAC,2020-12-13 00:00:00,6145
DEFRAD,2021-01-23 00:00:00,4001
ESMADA,2020-01-29 00:00:00,2203
ESMADA,2020-02-13 00:00:00,1528
ESMADA,2020-02-14 00:00:00,1496
ESMADA,2020-06-20 00:00:00,3125
ESMADA,2020-06-28 00:00:00,2322
ESMADA,2020-10-04 00:00:00,3739
ESMADA,2020-10-15 00:00:00,4569
ESMADA,2020-11-25 00:00:00,13448
ESMADA,2020-12-09 00:00:00,9761
ESMADA,2021-01-03 00:00:00,4669
FRCDGA,2020-10-02 00:00:00,35
FRCDGA,2020-11-09 00:00:00,94
GBLONA,2020-02-20 00:00:00,3321
GBLONA,2020-02-27 00:00:00,3711
GBLONA,2020-03-08 00:00:00,845
GBLONA,2020-04-13 00:00:00,7356
GBLONA,2020-05-24 00:00:00,665
GBLONA,2020-06-23 00:00:00,3704
GBLONA,2020-07-10 00:00:00,3468
GBLONA,2020-08-04 00:00:00,3344
GBLONA,2020-10-02 00:00:00,3251
GBLTNA,2020-01-23 00:00:00,23382
GBLTNA,2020-06-28 00:00:00,30418
GBLTNA,2020-08-19 00:00:00,19827
GBLTNA,2020-10-25 00:00:00,18300
JPOSAA,2020-03-15 00:00:00,10
JPOSAA,2020-10-12 00:00:00,599
JPOSAA,2020-11-24 00:00:00,406
PLSLBA,2020-01-27 00:00:00,211
PLSLBA,2020-03-08 00:00:00,415
PLSLBA,2020-05-15 00:00:00,383
PLSLBA,2020-06-10 00:00:00,530
PLSLBA,2020-10-16 00:00:00,338
PLSLBA,2020-12-25 00:00:00,45
PLSLBB,2020-08-15 00:00:00,273
PLSLBB,2020-08-30 00:00:00,239
PLSLBB,2020-09-04 00:00:00,607
USLAXA,2020-02-06 00:00:00,8819
USLAXA,2020-02-29 00:00:00,4235
USLAXA,2020-03-21 00:00:00,4501
USLAXA,2020-04-30 00:00:00,14709
USLAXA,2020-05-25 00:00:00,19080
USLAXA,2020-07-22 00:00:00,12298
USLAXA,2020-08-19 00:00:00,12191
USLAXA,2020-10-26 00:00:00,10978
USLAXA,2020-11-17 00:00:00,11733
USLAXA,2020-12-28 00:00:00,12739
USLAXA,2021-01-07 00:00:00,10793
USNYCA,2020-03-07 00:00:00,2804
USNYCA,2020-04-15 00:00:00,10926
USNYCA,2020-06-03 00:00:00,8035
USNYCA,2020-06-26 00:00:00,7548
USNYCA,2020-08-19 00:00:00,10746
USNYCA,2020-09-08 00:00:00,10640
USNYCA,2020-09-14 00:00:00,14267
AUMELA,2020-07-27 00:00:00,112
AUMELA,2020-08-07 00:00:00,217
AUMELA,2020-08-17 00:00:00,5
AUMELA,2020-09-05 00:00:00,1
AUMELA,2021-01-11 00:00:00,46
AUMELB,2020-08-26 00:00:00,162
AUMELB,2020-09-15 00:00:00,143
AUMELB,2020-10-27 00:00:00,192
AUMELB,2020-11-09 00:00:00,535
AUMELB,2020-11-27 00:00:00,287
AUMELB,2020-12-10 00:00:00,237
AUMELB,2020-12-29 00:00:00,204
AUSYDA,2020-04-28 00:00:00,2465
AUSYDA,2020-05-09 00:00:00,1484
AUSYDA,2020-06-12 00:00:00,2221
AUSYDA,2020-06-24 00:00:00,2235
AUSYDA,2020-07-04 00:00:00,1280
AUSYDA,2020-12-31 00:00:00,2874
AUSYDA,2021-01-06 00:00:00,2631
BELGGA,2020-01-18 00:00:00,152
BELGGA,2020-02-12 00:00:00,101
BELGGA,2020-06-25 00:00:00,38
BELGGA,2020-07-08 00:00:00,68
BELGGA,2020-09-06 00:00:00,43
BELGGA,2020-10-13 00:00:00,189
BELGGA,2020-11-09 00:00:00,146
BELGGA,2020-12-11 00:00:00,64
BELGGA,2020-12-16 00:00:00,61
BELGGA,2020-12-20 00:00:00,22
BELGGA,2020-12-25 00:00:00,36
BELGGA,2021-01-15 00:00:00,81
BELGGA,2021-01-20 00:00:00,57
BELGGB,2020-01-25 00:00:00,39
BELGGB,2020-01-29 00:00:00,107
BELGGB,2020-08-17 00:00:00,1834
BELGGB,2020-10-03 00:00:00,700
BELGGB,2020-10-12 00:00:00,1351
BELGGB,2020-11-29 00:00:00,2042
BELGGB,2020-12-29 00:00:00,2021
CAMSGA,2020-05-12 00:00:00,420
CAMSGA,2020-07-28 00:00:00,499
CAMSGA,2020-07-31 00:00:00,311
CAMSGA,2020-10-12 00:00:00,557
